,team,rival,win,tie,loss,difference,total,metric
0,Abkhazia,Artsakh,1,2,0,1,3,0.3333333333333330
1,Abkhazia,Chagos Islands,1,0,0,1,1,1.0
2,Abkhazia,Chameria,1,1,0,1,2,0.5
3,Abkhazia,Kárpátalja,0,1,1,-1,2,-0.5
4,Northern Cyprus,Abkhazia,1,2,0,1,3,0.3333333333333330
5,Occitania,Abkhazia,0,1,1,-1,2,-0.5
6,Panjab,Abkhazia,0,1,0,0,1,0.0
7,Abkhazia,South Ossetia,1,1,0,1,2,0.5
8,Abkhazia,Sápmi,1,0,2,-1,3,-0.3333333333333330
9,Abkhazia,Tamil Eelam,1,0,0,1,1,1.0
10,Abkhazia,Tibet,1,0,0,1,1,1.0
11,Abkhazia,United Koreans in Japan,1,0,0,1,1,1.0
12,Abkhazia,Western Armenia,1,1,0,1,2,0.5
13,Afghanistan,Bangladesh,2,3,0,2,5,0.4
14,Afghanistan,Bhutan,2,0,4,-2,6,-0.3333333333333330
15,Afghanistan,Cambodia,3,0,1,2,4,0.5
16,Afghanistan,Chinese Taipei,0,1,0,0,1,0.0
17,India,Afghanistan,3,2,3,0,8,0.0
18,Afghanistan,Japan,1,0,1,0,2,0.0
19,Afghanistan,Jordan,2,1,0,2,3,0.6666666666666670
20,Afghanistan,Kyrgyzstan,1,1,2,-1,4,-0.25
21,Afghanistan,Laos,0,2,1,-1,3,-0.3333333333333330
22,Afghanistan,Maldives,4,2,0,4,6,0.6666666666666670
23,Nepal,Afghanistan,3,1,2,1,6,0.16666666666666700
24,Afghanistan,Pakistan,5,0,1,4,6,0.6666666666666670
25,Afghanistan,Palestine,1,1,1,0,3,0.0
26,Afghanistan,Singapore,3,0,0,3,3,1.0
27,Afghanistan,Sri Lanka,3,1,4,-1,8,-0.125
28,Afghanistan,Syria,2,0,2,0,4,0.0
29,Tajikistan,Afghanistan,4,1,1,3,6,0.5
30,Afghanistan,Turkmenistan,2,0,3,-1,5,-0.2
31,Afghanistan,Vietnam,0,2,0,0,2,0.0
32,Algeria,Albania,1,0,0,1,1,1.0
33,Albania,Andorra,3,0,1,2,4,0.5
34,Albania,Armenia,3,1,1,2,5,0.4
35,Austria,Albania,4,0,3,1,7,0.14285714285714300
36,Azerbaijan,Albania,3,1,1,2,5,0.4
37,Albania,Belarus,2,2,1,1,5,0.2
38,Belgium,Albania,2,0,0,2,2,1.0
39,Albania,Bosnia and Herzegovina,2,2,1,1,5,0.2
40,Bulgaria,Albania,6,4,1,5,11,0.45454545454545500
41,Cameroon,Albania,0,1,0,0,1,0.0
42,China PR,Albania,1,1,0,1,2,0.5
43,Cuba,Albania,0,1,0,0,1,0.0
44,Cyprus,Albania,4,2,0,4,6,0.6666666666666670
45,Czechoslovakia,Albania,2,0,1,1,3,0.3333333333333330
46,Denmark,Albania,5,3,2,3,10,0.3
